java -jar RankLib-2.1-patched.jar -train MSLR-WEB10K/Fold4/train.txt -ranker 6 -test MSLR-WEB10K/Fold4/test.txt -validate MSLR-WEB10K/Fold4/vali.txt -metric2t NDCG@10 -tc 10 -round 100

[+] General Parameters:
Training data:	MSLR-WEB10K/Fold4/train.txt
Test data:	MSLR-WEB10K/Fold4/test.txt
Validation data:	MSLR-WEB10K/Fold4/vali.txt
Feature vector representation: Dense.
Ranking method:	LambdaMART
Feature description file:	Unspecified. All features will be used.
Train metric:	NDCG@10
Test metric:	NDCG@10
Feature normalization: No

[+] LambdaMART's Parameters:
No. of trees: 1000
No. of leaves: 10
No. of threshold candidates: 10
Learning rate: 0.1
Stop early: 100 rounds without performance gain on validation data

Reading feature file [MSLR-WEB10K/Fold4/train.txt]... [Done.]            
(6000 ranked lists, 718768 entries read)
Reading feature file [MSLR-WEB10K/Fold4/vali.txt]... [Done.]            
(2000 ranked lists, 239093 entries read)
Reading feature file [MSLR-WEB10K/Fold4/test.txt]... [Done.]            
(2000 ranked lists, 242331 entries read)
Initializing... [Done]
---------------------------------
Training starts...
---------------------------------
#iter   | NDCG@10-T | NDCG@10-V | 
---------------------------------
411     | 0.4367    | 0.4251    | 
412     | 0.4367    | 0.4252    | 
413     | 0.4368    | 0.4254    | 
414     | 0.4369    | 0.4253    | 
415     | 0.437     | 0.4251    | 
416     | 0.437     | 0.4251    | 
417     | 0.4371    | 0.4251    | 
418     | 0.4371    | 0.4252    | 
419     | 0.4372    | 0.4252    | 
420     | 0.4371    | 0.4254    | 
421     | 0.4371    | 0.4254    | 
422     | 0.4371    | 0.4254    | 
423     | 0.4371    | 0.4252    | 
424     | 0.4371    | 0.4252    | 
425     | 0.437     | 0.425     | 
426     | 0.437     | 0.425     | 
427     | 0.4369    | 0.4251    | 
428     | 0.4371    | 0.4251    | 
429     | 0.437     | 0.425     | 
430     | 0.437     | 0.4251    | 
431     | 0.4371    | 0.4251    | 
432     | 0.4372    | 0.425     | 
433     | 0.4371    | 0.4251    | 
434     | 0.4371    | 0.425     | 
435     | 0.4371    | 0.4253    | 
436     | 0.4371    | 0.4253    | 
437     | 0.4371    | 0.4252    | 
438     | 0.4371    | 0.4252    | 
439     | 0.4372    | 0.4253    | 
440     | 0.4373    | 0.4253    | 
441     | 0.4373    | 0.4251    | 
442     | 0.4372    | 0.4251    | 
443     | 0.4372    | 0.4249    | 
444     | 0.4372    | 0.425     | 
445     | 0.4372    | 0.4249    | 
446     | 0.4372    | 0.425     | 
447     | 0.4374    | 0.425     | 
448     | 0.4374    | 0.4251    | 
449     | 0.4375    | 0.4252    | 
450     | 0.4375    | 0.4252    | 
451     | 0.4376    | 0.4253    | 
452     | 0.4376    | 0.4254    | 
453     | 0.4375    | 0.4253    | 
454     | 0.4376    | 0.4254    | 
455     | 0.4377    | 0.4255    | 
456     | 0.4376    | 0.4253    | 
457     | 0.4376    | 0.4254    | 
458     | 0.4377    | 0.4253    | 
459     | 0.4377    | 0.4252    | 
---------------------------------
Finished sucessfully.
NDCG@10 on training data: 0.4352
NDCG@10 on validation data: 0.4256
---------------------------------
NDCG@10 on test data: 0.4313
